Администратор системы;Печать непроведенных документов
Главный бухгалтер;Печать непроведенных документов
Бухгалтер;Печать непроведенных документов
Бухгалтер с правами утверждения заявки на закупку;Печать непроведенных документов
Директор фирмы;Печать непроведенных документов
Директор магазина склада;Печать непроведенных документов
Зам. директора магазина склада;Печать непроведенных документов
Директор магазина;Печать непроведенных документов
Заместитель директора по продажам;Печать непроведенных документов
Заместитель директора по развитию;Печать непроведенных документов
Начальник отдела оптовых продаж;Печать непроведенных документов
Администратор системы;Справочник клиентов. Установка признака "фирмы"
Администратор системы;Справочник клиентов. Изменение табельного номера
Директор фирмы;Справочник клиентов. Изменение табельного номера
Бухгалтер;Справочник клиентов. Изменение табельного номера
Заместитель директора по продажам;Справочник клиентов. Изменение табельного номера
Администратор системы;Справочник клиентов. Смена данных пользователей системы (кроме пароля)
Заместитель директора по продажам;Справочник клиентов. Смена данных пользователей системы (кроме пароля)
Администратор системы;Справочник клиентов. Принудительная смена пароля
Заместитель директора по продажам;Справочник клиентов. Принудительная смена пароля
Администратор системы;Справочник клиентов. Смена категории доступа, пароля ККМ и закрытие доступа
Заместитель директора по продажам;Справочник клиентов. Смена категории доступа, пароля ККМ и закрытие доступа
Администратор системы;Справочник клиентов. Удаление контакта
Главный бухгалтер;Справочник клиентов. Удаление контакта
Директор фирмы;Справочник клиентов. Удаление контакта
Бухгалтер с правами утверждения заявки на закупку;Справочник клиентов. Удаление контакта
Заместитель директора по продажам;Справочник клиентов. Удаление контакта
Администратор системы;Справочник клиентов. Подробно о контакте
Бухгалтер;Справочник клиентов. Подробно о контакте
Главный бухгалтер;Справочник клиентов. Подробно о контакте
Директор фирмы;Справочник клиентов. Подробно о контакте
Менеджер по закупке;Справочник клиентов. Подробно о контакте
Менеджер по оптовым продажам;Справочник клиентов. Подробно о контакте
Бухгалтер с правами утверждения заявки на закупку;Справочник клиентов. Подробно о контакте
Менеджер по закупке с правами правки перемещений;Справочник клиентов. Подробно о контакте
Директор магазина;Справочник клиентов. Подробно о контакте
Начальник отдела розничных продаж;Справочник клиентов. Подробно о контакте
Начальник отдела оптовых продаж;Справочник клиентов. Подробно о контакте
Заместитель директора по логистике;Справочник клиентов. Подробно о контакте
Директор магазина склада;Справочник клиентов. Подробно о контакте
Зам. директора магазина склада;Справочник клиентов. Подробно о контакте
Менеджер по франчайзингу;Справочник клиентов. Подробно о контакте
Заместитель директора по продажам;Справочник клиентов. Подробно о контакте
Заместитель директора по развитию;Справочник клиентов. Подробно о контакте
Специалист по сопровождению ПО;Справочник клиентов. Подробно о контакте
Бренд менеджер;Справочник клиентов. Подробно о контакте
Менеджер по работе с копроративными клиентами;Справочник клиентов. Подробно о контакте
Администратор системы;Справочник клиентов. Просмотр баланса клиентов
Бренд менеджер;Справочник клиентов. Просмотр баланса клиентов
Бухгалтер;Справочник клиентов. Просмотр баланса клиентов
Бухгалтер с правами утверждения заявки на закупку;Справочник клиентов. Просмотр баланса клиентов
Главный бухгалтер;Справочник клиентов. Просмотр баланса клиентов
Директор магазина;Справочник клиентов. Просмотр баланса клиентов
Директор магазина склада;Справочник клиентов. Просмотр баланса клиентов
Директор фирмы;Справочник клиентов. Просмотр баланса клиентов
Зам. директора магазина склада;Справочник клиентов. Просмотр баланса клиентов
Заместитель директора по логистике;Справочник клиентов. Просмотр баланса клиентов
Заместитель директора по продажам;Справочник клиентов. Просмотр баланса клиентов
Заместитель директора по развитию;Справочник клиентов. Просмотр баланса клиентов
Начальник отдела оптовых продаж;Справочник клиентов. Просмотр баланса клиентов
Начальник отдела розничных продаж;Справочник клиентов. Просмотр баланса клиентов
Менеджер по франчайзингу;Справочник клиентов. Просмотр баланса клиентов
Менеджер по оптовым продажам;Справочник клиентов. Просмотр баланса клиентов
Менеджер по закупке с правами правки перемещений;Справочник клиентов. Просмотр баланса клиентов
Менеджер по закупке;Справочник клиентов. Просмотр баланса клиентов
Менеджер отдела логистики;Справочник клиентов. Просмотр баланса клиентов
Старший продавец;Справочник клиентов. Просмотр баланса клиентов
Товаровед;Справочник клиентов. Просмотр баланса клиентов
Менеджер по работе с копроративными клиентами;Справочник клиентов. Просмотр баланса клиентов
Администратор системы;Справочник клиентов. Изменение кредита клиента/менеджера
Директор фирмы;Справочник клиентов. Изменение кредита клиента/менеджера
Главный бухгалтер;Справочник клиентов. Изменение кредита клиента/менеджера
Администратор системы;Справочник товаров. Создание товара и группы товаров
Бухгалтер;Справочник товаров. Создание товара и группы товаров
Главный бухгалтер;Справочник товаров. Создание товара и группы товаров
Бухгалтер с правами утверждения заявки на закупку;Справочник товаров. Создание товара и группы товаров
Директор фирмы;Справочник товаров. Создание товара и группы товаров
Менеджер по закупке;Справочник товаров. Создание товара и группы товаров
Менеджер по закупке с правами правки перемещений;Справочник товаров. Создание товара и группы товаров
Заместитель директора по логистике;Справочник товаров. Создание товара и группы товаров
Заместитель директора по продажам;Справочник товаров. Создание товара и группы товаров
Администратор системы;Справочник товаров. Создание копии товара
Главный бухгалтер;Справочник товаров. Создание копии товара
Бухгалтер;Справочник товаров. Создание копии товара
Менеджер по закупке;Справочник товаров. Создание копии товара
Бухгалтер с правами утверждения заявки на закупку;Справочник товаров. Создание копии товара
Директор фирмы;Справочник товаров. Создание копии товара
Менеджер по закупке с правами правки перемещений;Справочник товаров. Создание копии товара
Заместитель директора по логистике;Справочник товаров. Создание копии товара
Заместитель директора по продажам;Справочник товаров. Создание копии товара
Администратор системы;Справочник товаров. Копирование формата товара
Директор фирмы;Справочник товаров. Копирование формата товара
Менеджер по закупке;Справочник товаров. Копирование формата товара
Менеджер по закупке с правами правки перемещений;Справочник товаров. Копирование формата товара
Заместитель директора по логистике;Справочник товаров. Копирование формата товара
Заместитель директора по продажам;Справочник товаров. Копирование формата товара
Бренд менеджер;Справочник товаров. Копирование формата товара
Администратор системы;Справочник товаров. Изменение и перемещение товара и группы товаров
Бухгалтер;Справочник товаров. Изменение и перемещение товара и группы товаров
Главный бухгалтер;Справочник товаров. Изменение и перемещение товара и группы товаров
Бухгалтер с правами утверждения заявки на закупку;Справочник товаров. Изменение и перемещение товара и группы товаров
Директор фирмы;Справочник товаров. Изменение и перемещение товара и группы товаров
Менеджер по закупке;Справочник товаров. Изменение и перемещение товара и группы товаров
Менеджер по закупке с правами правки перемещений;Справочник товаров. Изменение и перемещение товара и группы товаров
Заместитель директора по логистике;Справочник товаров. Изменение и перемещение товара и группы товаров
Заместитель директора по продажам;Справочник товаров. Изменение и перемещение товара и группы товаров
Администратор системы;Справочник товаров. Удаление товара и группы товаров
Бухгалтер;Справочник товаров. Удаление товара и группы товаров
Главный бухгалтер;Справочник товаров. Удаление товара и группы товаров
Бухгалтер с правами утверждения заявки на закупку;Справочник товаров. Удаление товара и группы товаров
Директор фирмы;Справочник товаров. Удаление товара и группы товаров
Менеджер по закупке;Справочник товаров. Удаление товара и группы товаров
Менеджер по закупке с правами правки перемещений;Справочник товаров. Удаление товара и группы товаров
Заместитель директора по логистике;Справочник товаров. Удаление товара и группы товаров
Заместитель директора по продажам;Справочник товаров. Удаление товара и группы товаров
Бухгалтер;Справочник товаров. Подробно о товаре
Главный бухгалтер;Справочник товаров. Подробно о товаре
Директор магазина;Справочник товаров. Подробно о товаре
Директор фирмы;Справочник товаров. Подробно о товаре
Кассир;Справочник товаров. Подробно о товаре
