ID;ART;NAME;FNAME;PARENT;EDIZM;VEDIZM;OEDIZM;VN;NDA;SZ;PROIZV;STRANA;OPIS;KOMMENT;PR;UPAK;IDS;KO;SO;FILES;
1455;863;Дверное полотно остекленное, грунтованное 800х2000;Дверное полотно остекленное, грунтованное 800х2000;125000043;шт.;13;0;1;1;0;;россия;Каркас из твердых пород дерева, сотовое заполнение гофрокартоном для  звукоизоляции.Есть оптовые цены!;;0;0;0;0;0;;
3213888;75445;Нетканый укрывной материал СУФ 42 3,2м ( 26428 );Нетканый укрывной материал СУФ 42 3,2м ( 26428 );2607589;п.м.;0;0;1;1;0;;;Укрывные нетканые материалы применяются в приусадебном и сельском хозяйстве во  время устройства дугообразных парников и каркасных теплиц. Предназначены для защиты  высаженных в грунте растений от птиц и насекомых, а также от резких колебаний  температур и других агресивных явлений погоды. СУФ 42 предназначендля, в первую  очередь, для укрытия теплиц, защиты от вымерзания саженцев кустов и деревьев в зимний  период.   Воздухо-, водо-, светопроницаемость, низкая теплопроводность материала обеспечивают  благоприятный микроклимат для роста растений. Применение СУФ 42 увеличивает срок  вегетации и ускоряет созревание плодов в климатических условиях России.;;0;0;0;250;0;3213888_63578008238759.jpg;
1227061;30524;Дюбель 8х40;Дюбель 8х40;200005312;шт.;0;0;1;1;0;;Россия;;;0;0;0;0;0;1227061_63583433838171.jpg;
2048;20337;Клей для холодной сварки линолеума Werner Muller тип  А (острый) (44г);Клей для холодной сварки линолеума Werner Muller тип  А (острый) (44г);8617;шт.;0;0;1;1;0;;германия;Для сплавления покрытий полов из ПВХ с плотно резаным швом (резка внахлёст)  На 25 метров шва.;;0;0;0;0;0;2048_63578077547005.jpg;
2593;21234;Дверное полотно  глухое грунтованное 600х2000;Дверное полотно  глухое грунтованное 600х2000;125000043;шт.;7;0;1;1;0;;Россия;Каркас из твёрдых пород дерева, сотовое заполнение гофро-картоном для звукоизоляции.  Есть оптов. цены!;;0;0;0;0;0;2593_63508024248781.jpg;
3017898;65917;Профиль стыкоперекрывающий ПС 01.900.092(вишня);Профиль стыкоперекрывающий ПС 01.900.092(вишня);2574709;шт.;0;0;1;1;0;;Россия;;;0;0;0;5;0;;
3096;22045;Дверное полотно  глухое грунтованное 800х2000;Дверное полотно  глухое грунтованное 800х2000;125000043;шт.;12;0;1;1;0;;Россия;Каркас из твёрдых пород дерева, сотовое заполнение гофро-картоном для  звукоизоляции.Есть оптов. цены!;;0;0;0;0;0;3096_63508024305484.jpg;
3887;24870;Дверное полотно  глухое грунтованное 700х2000;Дверное полотно  глухое грунтованное 700х2000;125000043;шт.;9;0;1;1;0;;Россия;Каркас из твёрдых пород дерева, сотовое заполнение гофро-картоном для  звукоизоляции.Есть оптов. цены!;;0;0;0;0;0;3887_63508024299109.jpg;
3016018;467035;Компакт "Анимо" косой  сиденье дюропласт;Компакт "Анимо" косой  сиденье дюропласт;200005109;шт.;25;0;1;1;0;;;В комплекте:компакт,бачок,  арматура н/п , стульчак. Косой выпуск, круговой смыв.;;0;0;0;0;0;3016018_63501278720484.jpg;
1978141;5113;Саморезы для крепления ГВЛ 3,9*30 уменьшенная головка;Саморезы для крепления ГВЛ 3,9*30 уменьшенная головка;1221754;кг.;1;0;1;1;0;;Россия;Саморезы для крепления ГВЛ 3,9*30 уменьшенная головка с насечками для раззенковки,  двухзаходная резьба;;0;0;0;5,17;0;1978141_63397438644421.jpg;
1221008;27014;Клей для плитки ''Старатели-Стандарт'' 5кг;Клей для плитки ''Старатели-Стандарт'' 5кг;2608068;шт.;5;0;1;1;0;;Россия;Для внутренних работ. Перед применением изучи инструкцию.;;0;0;0;6;0;1221008_63387401415140.jpg;
3065186;43372;Компакт "Цезарь" н/п;Компакт "Цезарь" н/п;200005109;шт.;30;0;1;1;0;;;В комплекте: компакт, сиденье дюропласт.,арматура для нижней подводки  воды, . Горизонтальный  выпуск,  круговой смыв. Вес-26 кг.;;0;0;0;0;0;3065186_63501281827796.jpg;
3065646;43602;Дюбель фасадный, сердечник п/проп. KI-10х120мм;Дюбель фасадный, сердечник п/проп. KI-10х120мм;200005312;шт.;0;0;1;1;0;;Германия;;;0;0;0;926;0;3065646_63583434677781.jpg;
1428883;31387;Саморезы с прессшайбой 4,2х13мм острый наконечник;Саморезы с прессшайбой 4,2х13мм острый наконечник;1221754;кг.;1;0;1;1;0;;тайвань;Саморезы для гипсокарт. профилей 4,2х13мм. острый  до 1мм(без предв.  сверления)полусферическая головка с прессшайбой, цинк;;0;0;0;33,1521;0;1428883_63397438908343.jpg;
1436372;35552;Металло- рамный анкер 10х152мм;Металло- рамный анкер 10х152мм;200005311;шт.;0;0;1;1;0;;польша;;;0;0;0;34;0;1436372_63398203828906.jpg;
3215018;76007;Мойка U-110-302 песочная;Мойка U-110-302 песочная;2609373;шт.;2;0;1;1;0;;Россия;;;0;0;0;1;0;3215018_63588811856072.jpg 3215018_63588811861091.jpg 3215018_63588811869888.jpg;
1430877;32303;Тюльпан "Бореаль-60" с отв.;Тюльпан "Бореаль-60" с отв.;200005111;шт.;21;0;1;1;0;;;Срок безопасной службы 10 лет Вес 20,2 кг;;0;0;0;0;0;;
3215020;76008;Смеситель U-006-302 песочный;Смеситель U-006-302 песочный;2609374;шт.;2;0;1;1;0;;Россия;;;0;0;0;1;0;3215020_63588813189549.jpg 3215020_63588813193218.jpg;
3221242;79119;Краска в/д Export-2 глубокоматовая BС для стен и потолков 9л;Краска в/д Export-2 глубокоматовая BС для стен и потолков 9л;2609285;шт.;9;0;1;1;0;;;Легко наносится, быстро высыхает на поверхности, не имеет резкого запаха, образует  покрытие с высокой укрывистостью, блалагодаря  чему скрывает небольшие дефекты  поверхности, придавая  потолку отличный декоративный вид. Легко наносится, без разбрызгиваний и подтеков, не  оставляя следов от инструмента. Устойчива к влажной уборке БЕЗ применения моющих  средств. Использовать в помещениях с низкой эксплуатацинной нагрузкой (спальня,  кабинет, гостиная, холл, гардеробная). Пригодня для применения в детских и  лечебно-профилактических учреждениях.;;0;0;0;0;0;3221242_63611008753230.jpg;
2991626;14487;Сиденье к компакту "Сенатор";Сиденье к компакту "Сенатор";200005110;шт.;1;0;1;1;0;;;Вес-3кг.;;0;0;0;3;0;;
1430879;32304;Тюльпан "Бриз-60" с отв.;Тюльпан "Бриз-60" с отв.;200005111;шт.;20;0;1;1;0;;;Срок безопасной службы 10 лет. Вес 22,8 кг.;;0;0;0;0;0;;
3016020;467036;Компакт "Анимо" прямой сиденье дюропласт;Компакт "Анимо" прямой сиденье дюропласт;200005109;шт.;25;0;1;1;0;;;В комплекте:компакт,бачок,  арматура н/п , стульчак.Прямой выпуск, круговой смыв.;;0;0;0;0;0;3016020_63501278730859.jpg;
3068548;45053;Пена монтажная ''MAKROFLEX PRO" профессиональная, 750мл;Пена монтажная ''MAKROFLEX PRO" профессиональная, 750мл;2584825;шт.;1;0;1;1;0;;;Перед использованием см. инструкцию, есть оптовые цены. До -10 С;;0;0;0;56;0;3068548_63385256598500.jpg;
1225172;29239;Дюбель с шурупом 6х40мм;Дюбель с шурупом 6х40мм;200005312;шт.;0;0;1;1;0;;польша;;;0;0;0;1670;0;1225172_63583433976656.jpg;
1225309;29308;Подложка 2 мм (рулон50х1,05м);Подложка 2 мм (рулон50х1,05м);8618;п.м.;0;0;1;1;0;;россия;Тощина подложки 2мм;;0;0;0;236,4;0;1225309_63596328875101.jpg;
1225174;29240;Дюбель с шурупом 6х60мм;Дюбель с шурупом 6х60мм;200005312;шт.;0;0;1;1;0;;польша;;;0;0;0;1808;0;1225174_63583434037187.jpg;
1225176;29241;Дюбель с шурупом 6х80мм;Дюбель с шурупом 6х80мм;200005312;шт.;0;0;1;1;0;;польша;;;0;0;0;108;0;1225176_63583434118812.jpg;
3221276;79136;Умывальник "Престиж" (635*464) с пьедесталом синий;Умывальник "Престиж" (635*464) с пьедесталом синий;2610549;шт.;30;0;1;1;0;;;;;0;0;0;0;0;3221276_63590866920318.jpg;
3221278;79137;Умывальник "Престиж" (635*464) с пьедесталом зеленый;Умывальник "Престиж" (635*464) с пьедесталом зеленый;2610549;шт.;30;0;1;1;0;;;;;0;0;0;0;0;3221278_63590866966515.jpg;
3065188;43373;Умывальник "Бриз-40" л/отв;Умывальник "Бриз-40" л/отв;200005111;шт.;0;0;1;1;0;;;Срок безопасной службы 10 лет.;;0;0;0;0;0;;
